id,inventory_id,equipment_id
1,59,19
2,847,19
3,388,19
4,570,19
5,1083,19
6,4,19
7,77,19
8,250,19
9,316,19
10,344,19
11,950,19
12,437,19
13,818,19
14,667,19
15,922,19
16,314,19
17,333,19
18,531,19
19,1123,19
20,1180,19
21,414,19
22,493,19
23,1047,19
24,357,19
25,624,19
26,36,19
27,1023,19
28,1025,19
29,411,19
30,53,19
31,312,19
32,775,19
33,59,18
34,847,18
35,388,18
36,570,18
37,1083,18
38,4,18
39,77,18
40,250,18
41,316,18
42,344,18
43,950,18
44,437,18
45,818,18
46,667,18
47,922,18
48,314,18
49,333,18
50,531,18
51,1123,18
52,1180,18
53,414,18
54,493,18
55,1047,18
56,357,18
57,624,18
58,36,18
59,1023,18
60,1025,18
61,411,18
62,53,18
63,312,18
64,775,18
65,59,4
66,847,4
67,388,4
68,570,4
69,1083,4
70,4,4
71,77,4
72,250,4
73,316,4
74,344,4
75,950,4
76,437,4
77,818,4
78,667,4
79,922,4
80,314,4
81,333,4
82,531,4
83,1123,4
84,1180,4
85,414,4
86,493,4
87,1047,4
88,357,4
89,624,4
90,36,4
91,1023,4
92,1025,4
93,411,4
94,53,4
95,312,4
96,775,4
97,59,10
98,847,10
99,388,10
100,570,10
101,1083,10
102,4,10
103,77,10
104,250,10
105,316,10
106,344,10
107,950,10
108,437,10
109,818,10
110,667,10
111,922,10
112,314,10
113,333,10
114,531,10
115,1123,10
116,1180,10
117,414,10
118,493,10
119,1047,10
120,357,10
121,624,10
122,36,10
123,1023,10
124,1025,10
125,411,10
126,53,10
127,312,10
128,775,10
129,59,1
130,847,1
131,388,1
132,570,1
133,1083,1
134,4,1
135,77,1
136,250,1
137,316,1
138,344,1
139,950,1
140,437,1
141,818,1
142,667,1
143,922,1
144,314,1
145,333,1
146,531,1
147,1123,1
148,1180,1
149,414,1
150,493,1
151,1047,1
152,357,1
153,624,1
154,36,1
155,1023,1
156,1025,1
157,411,1
158,53,1
159,312,1
160,775,1
161,59,7
162,847,7
163,388,7
164,570,7
165,1083,7
166,4,7
167,77,7
